GEO_ID,NAME,B28002_001E,B28002_013E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!No Internet access
42003562700,"Census Tract 5627, Allegheny County, Pennsylvania",1205,278
42003562800,"Census Tract 5628, Allegheny County, Pennsylvania",792,212
42003562900,"Census Tract 5629, Allegheny County, Pennsylvania",813,248
42003563000,"Census Tract 5630, Allegheny County, Pennsylvania",1293,183
42003563100,"Census Tract 5631, Allegheny County, Pennsylvania",1708,289
42003563200,"Census Tract 5632, Allegheny County, Pennsylvania",1506,427
42003563300,"Census Tract 5633, Allegheny County, Pennsylvania",555,41
42003563800,"Census Tract 5638, Allegheny County, Pennsylvania",1695,315
42003563900,"Census Tract 5639, Allegheny County, Pennsylvania",1973,352
42003564000,"Census Tract 5640, Allegheny County, Pennsylvania",2447,357
42003564100,"Census Tract 5641, Allegheny County, Pennsylvania",358,19
42003564200,"Census Tract 5642, Allegheny County, Pennsylvania",1064,212
42003564400,"Census Tract 5644, Allegheny County, Pennsylvania",2711,596
42003564500,"Census Tract 5645, Allegheny County, Pennsylvania",1241,203
42003980000,"Census Tract 9800, Allegheny County, Pennsylvania",0,0
